full_name,bazi_score,wuge_score,total_score
王悦恋,64,86.6,150.6
王悦交,62,86.9,148.9
王悦盈,76,86.7,162.7
王悦嫻,23,93.0,116.0
王悦?,23,93.0,116.0
王悦妹,76,80.8,156.8
王悦招,61,86.7,147.7
王悦亮,61,86.7,147.7
王悦淞,79,83.7,162.7
王悦珍,63,86.7,149.7
王悦蒙,77,91.1,168.1
王悦唆,95,86.7,181.7
王悦仙,93.5,83.4,176.9
王悦刘,61.5,77.3,138.8
王悦禧,77,87.2,164.2
王悦舰,63,91.3,154.3
王悦涵,79,83.7,162.7
王悦溪,76.5,85.6,162.1
王悦蔚,62,87.2,149.2
王悦翾,23,93.0,116.0
王悦嫣,96.5,85.6,182.1
王悦贞,61,86.7,147.7
王悦纫,93,86.7,179.7
王悦讳,77,91.1,168.1
王悦旺,96,80.8,176.8
王悦炀,64,81.2,145.2
王悦沿,76,86.7,162.7
王悦孙,95,86.7,181.7
王悦滚,76.5,77.3,153.8
王悦胎,63,70.6,133.6
王悦菊,61.5,85.6,147.1
王悦拜,76,86.7,162.7
王悦有,97,86.9,183.9
王悦邱,64,83.7,147.7
王悦人,96,92.6,188.6
王悦显,64,86.6,150.6
王悦弋,64,89.2,153.2
王悦肇,61.5,85.6,147.1
王悦骐,61,79.8,140.8
王悦荟,61,81.2,142.2
王悦新,96,81.2,177.2
王悦蕊,61,79.8,140.8
王悦君,62,84.0,146.0
王悦旨,62,86.9,148.9
王悦罕,76,86.7,162.7
王悦地,97,86.9,183.9
王悦美,76,86.7,162.7
王悦鸽,62,87.2,149.2
王悦成,94,84.0,178.0
王悦婷,64,83.7,147.7
王悦園,23,93.0,116.0
王悦亭,61,86.7,147.7
王悦咚,61,80.8,141.8
王悦葆,61.5,77.3,138.8
王悦正,93.5,83.4,176.9
王悦柔,93,86.7,179.7
王悦祺,64,81.2,145.2
王悦愛,23,93.0,116.0
王悦芯,63,86.7,149.7
王悦展,63,86.7,149.7
王悦礼,61,79.8,140.8
王悦胤,63,70.6,133.6
王悦靖,96,81.2,177.2
王悦固,61,80.8,141.8
王悦莎,64,81.2,145.2
王悦莓,64,81.2,145.2
王悦绿,61.5,85.6,147.1
王悦争,61,80.8,141.8
王悦蕉,61,79.8,140.8
王悦青,93,80.8,173.8
王悦棂,61,78.5,139.5
王悦蒋,62,87.2,149.2
王悦旬,94,86.9,180.9
王悦咖,61,80.8,141.8
王悦智,64,83.7,147.7
王悦爨,93,79.4,172.4
王悦配,78,86.7,164.7
王悦倾,64,81.2,145.2
王悦侠,61,86.7,147.7
王悦才,93.5,83.6,177.1
王悦骊,61,79.4,140.4
王悦司,93.5,83.4,176.9
王悦菱,61.5,85.6,147.1
王悦梅,63,70.6,133.6
王悦勋,97,91.1,188.1
王悦芹,63,86.7,149.7
王悦达,62,91.1,153.1
王悦瑗,61.5,85.6,147.1
王悦南,61,86.7,147.7
王悦焓,63,70.6,133.6
王悦狄,61,80.8,141.8
王悦耐,61,86.7,147.7
王悦川,96,89.2,185.2
王悦颐,96.5,77.3,173.8
王悦立,61.5,83.4,144.9
王悦釗,23,93.0,116.0
王悦菏,76.5,85.6,162.1
王悦州,94,86.9,180.9
王悦泓,76,86.7,162.7
王悦澜,78,85.8,163.8
王悦渊,79,83.7,162.7
王悦棋,64,83.7,147.7
王悦能,64,83.7,147.7
王悦全,62,86.9,148.9
王悦硝,99,83.7,182.7
王悦虹,61,86.7,147.7
王悦裔,99,81.2,180.2
王悦聪,94,87.2,181.2
王悦坤,96,80.8,176.8
王悦胜,96,83.7,179.7
王悦窈,63,86.7,149.7
王悦可,61.5,83.4,144.9
王悦甲,61.5,83.4,144.9
王悦旭,62,86.9,148.9
王悦斌,78,70.6,148.6
王悦汁,77,86.9,163.9
王悦英,63,70.6,133.6
王悦琳,64,81.2,145.2
王悦嫱,94,91.1,185.1
王悦洳,78,86.7,164.7
王悦梵,63,70.6,133.6
王悦彪,78,70.6,148.6
王悦妲,61,80.8,141.8
王悦潾,23,93.0,116.0
王悦裙,64,81.2,145.2
王悦研,61,86.7,147.7
王悦辉,76.5,77.3,153.8
王悦畅,61.5,85.6,147.1
王悦毅,61.5,77.3,138.8
王悦培,98,70.6,168.6
王悦湫,79,81.2,160.2
王悦幔,76.5,85.6,162.1
王悦官,61,80.8,141.8
王悦笛,63,70.6,133.6
王悦钗,95,70.6,165.6
王悦武,76,80.8,156.8
王悦奴,61.5,83.4,144.9
王悦倩,95,86.7,181.7
王悦机,62,91.1,153.1
